ID,cond,granul,veg,mo
MOLO_Do_12_Su,293,0.24,1.3,7.94
MOLO_Do_16_Sp,340,0.26,0.5,5.47
MOLO_Do_16_Su,356,0.2,2.3,5.47
MORT_Ce_03_Sp,353,0,0.7,9.4
MORT_Ce_03_Su,322,0,4.3,9.4
MORT_Ce_08_Sp,566,0,2.7,17.45
MORT_Ce_08_Su,370,0,3.7,17.45
MORT_Ce_10_Sp,418,0,2.2,10.17
MORT_Ce_10_Su,401,0,3.7,10.17
MORT_Ce_12_Sp,304,0,3.7,11.4
MORT_Ce_12_Su,388,0,4.3,11.4
MORT_Ce_14_Sp,525,0,4.3,10.81
MORT_Ce_14_Su,313,0,4.7,10.81
MORT_Ce_16_Sp,396,0,3.7,12.96
MORT_Ce_16_Su,513,0,4,12.96
MORT_Do_03_Sp,417,0,2,8.79
MORT_Do_03_Su,358,0,2.7,8.79
MORT_Do_08_Sp,453,0,0.5,8.03
MORT_Do_08_Su,441,0.11,4,8.03
MORT_Do_10_Sp,482,0,2.7,7.9
MORT_Do_10_Su,408,0.17,2.7,7.9
MORT_Do_12_Sp,427,0.17,1.7,9.35
MORT_Do_12_Su,424,0.17,1.7,9.35
MORT_Do_14_Sp,431,0.06,1.2,8.13
MORT_Do_14_Su,388,0,4,8.13
MORT_Do_16_Sp,406,0.2,1.2,9.05
MORT_Do_16_Su,434,0,4,9.05
NAPP_Up_03_Sp,444,0,4,8.55
NAPP_Up_03_Su,647,0,4.7,8.55
NAPP_Up_05_Sp,372,0,5,8.62
NAPP_Up_05_Su,358,0,4,8.62
NAPP_Up_10_Sp,672,0,4.7,9.55
NAPP_Up_10_Su,447,0,5,9.55
NAPP_Up_12_Sp,521,0,4.3,10.82
NAPP_Up_12_Su,322,0,4.7,10.82
NAPP_Up_14_Sp,564,0,4,8.57
NAPP_Up_14_Su,223,0,5,8.57
NAPP_Up_16_Sp,538,0,2.3,11.74
NAPP_Up_16_Su,596,0,4.7,11.74
PLAI_Up_04_Su,335,0.19,4.7,10.13
PLAI_Up_05_Sp,466,0,0.8,10.13
PLAI_Up_08_Sp,495,0,1.5,11.96
PLAI_Up_08_Su,298,0,1.5,11.96
PLAI_Up_10_Sp,463,0,2.7,9.9
PLAI_Up_10_Su,348,0,5,9.9
PLAI_Up_12_Sp,510,0,2,13.7
PLAI_Up_12_Su,410,0,1.5,13.7
PLAI_Up_14_Sp,422,0,0.5,11.8
PLAI_Up_14_Su,311,0,2,11.8
PLAI_Up_16_Sp,372,0,0.7,11.2
PLAI_Up_16_Su,412,0,1.7,11.2
PLAI_Do_04_Su,270,0.75,4,11.58
PLAI_Do_05_Sp,412,0,1,11.58
PLAI_Do_08_Sp,494,0,0.5,13.73
PLAI_Do_08_Su,298,0,1.3,13.73
PLAI_Do_10_Sp,447,0,2.7,8.32
PLAI_Do_10_Su,276,0,3,8.32
PLAI_Do_12_Sp,415,0,3,13.47
PLAI_Do_12_Su,267,0,3.7,13.47
PLAI_Do_14_Sp,379,0,2.7,10.78
PLAI_Do_14_Su,319,0,2.3,10.78
PLAI_Do_16_Sp,449,0,1,12.44
PLAI_Do_16_Su,414,0,1.3,12.44
PONT_Up_04_Su,316,0,2.3,9.18
PONT_Up_05_Sp,352,0,2,9.18
PONT_Up_08_Sp,395,0,3,10.1
PONT_Up_08_Su,317,0,3.7,10.1
PONT_Up_10_Sp,360,0,2.8,6.7
PONT_Up_10_Su,329,0,3.3,6.7
PONT_Up_12_Sp,342,0,1.2,10.31
PONT_Up_12_Su,395,0,1.7,10.31
PONT_Up_14_Sp,398,0,0.2,17.48
PONT_Up_14_Su,302,0,0.2,17.48
PONT_Up_16_Sp,357,0,1.7,8.82
PONT_Up_16_Su,349,0,2,8.82
PONT_Do_04_Su,320,0,0.7,7.98
PONT_Do_05_Sp,440,0.17,0.5,7.98
PONT_Do_08_Sp,384,0.27,0,8.78
PONT_Do_08_Su,326,0.46,0,8.78
PONT_Do_10_Sp,436,0.17,0.7,3.79
PONT_Do_10_Su,290,0.44,3.3,3.79
PONT_Do_12_Sp,330,0.36,0.8,5.1
PONT_Do_12_Su,314,0.4,0.3,5.1
PONT_Do_14_Sp,346,0.44,0.3,5.84
PONT_Do_14_Su,300,0.33,1,5.84
PONT_Do_16_Sp,332,0.44,2.3,4.44
PONT_Do_16_Su,365,0.27,1.3,4.44
ROSS_Up_03_Sp,557,0,1.3,6.28
ROSS_Up_03_Su,348,0,2.7,6.28
ROSS_Up_08_Sp,510,0,0.5,7.06
ROSS_Up_08_Su,385,0,2.2,7.06
ROSS_Up_10_Sp,551,0,0.7,6.7
ROSS_Up_10_Su,545,0,3.3,6.7
ROSS_Up_12_Sp,506,0,2,6.88
ROSS_Up_12_Su,505,0,3.7,6.88
ROSS_Up_14_Sp,579,0,0.2,7.56
ROSS_Up_14_Su,318,0,3.3,7.56
ROSS_Up_16_Sp,526,0,0.7,10.89
ROSS_Up_16_Su,521,0,0.7,10.89
ROSS_Do_03_Sp,482,0,1.3,4.94
ROSS_Do_03_Su,342,0,2,4.94
ROSS_Do_08_Sp,462,0.19,1.7,14.97
ROSS_Do_08_Su,398,0,0.3,14.97
ROSS_Do_10_Sp,484,0.21,2.3,11.57
ROSS_Do_10_Su,473,0.17,2.7,11.57
ROSS_Do_12_Sp,441,0.17,1.7,10.73
ROSS_Do_12_Su,391,0.26,0.7,10.73
ROSS_Do_14_Sp,559,0.11,2.2,7.93
ROSS_Do_14_Su,353,0.61,3.7,7.93
ROSS_Do_16_Sp,434,0.28,0.3,8.3
ROSS_Do_16_Su,402,0.38,0.7,8.3
TONK_Up_06_Sp,330,0.5,0,0.07
TONK_Up_06_Su,279,0.57,0,0.07
TONK_Up_08_Sp,373,0.44,0,0.08
TONK_Up_08_Su,311,0.41,0,0.08
TONK_Up_10_Sp,366,0.53,0,0.07
TONK_Up_10_Su,302,0.54,0,0.07
TONK_Up_12_Sp,321,0.68,0,0.07
TONK_Up_12_Su,298,0.48,0,0.07
TONK_Up_16_Sp,310,0.54,0,0.06
TONK_Up_16_Su,316,0.57,0,0.06
TONK_Do_06_Sp,337,0.57,0,0.05
TONK_Do_06_Su,280,0.62,0,0.05
TONK_Do_08_Sp,364,0.58,0,0.11
TONK_Do_08_Su,313,0.63,0,0.11
TONK_Do_10_Sp,364,0.67,0,0.14
TONK_Do_10_Su,305,0.63,0,0.14
TONK_Do_12_Sp,333,0.5,0,0.09
TONK_Do_12_Su,299,0.52,0,0.09
TONK_Do_16_Sp,313,0.53,0,0.04
TONK_Do_16_Su,309,0.52,0,0.04
VACH_Up_03_Su,576,0.55,1,5.49
VACH_Up_04_Sp,731,0.48,0,5.49
VACH_Up_08_Sp,347,0.63,0,0.12
VACH_Up_08_Su,294,0.6,0,0.12
VACH_Up_10_Sp,380,0.69,0,0.13
VACH_Up_11_Sp,356,0.59,0.2,0.01
VACH_Up_11_Su,308,0.6,0.7,0.01
VACH_Up_12_Sp,344,0.66,0.2,0.01
VACH_Up_13_Sp,357,0.7,0,0.06
VACH_Up_16_Sp,310,0.59,0,0.04
VACH_Up_16_Su,293,0.56,0,0.04
VACH_Do_03_Su,276,0.43,0.3,0.09
VACH_Do_04_Sp,596,0.49,0.2,0.09
VACH_Do_08_Sp,343,0.54,0,0.41
VACH_Do_08_Su,296,0.66,0,0.41
VACH_Do_11_Sp,363,0.62,0,0.1
VACH_Do_11_Su,308,0.59,1,0.1
VACH_Do_12_Sp,347,0.66,0.7,0.09
VACH_Do_13_Sp,359,0.71,0,0.74
VACH_Do_16_Sp,311,0.69,0,0.06
VACH_Do_16_Su,293,0.64,0,0.06
VILO_Up_05_Sp,450,0,3.3,13.57
VILO_Up_05_Su,422,0,4,13.57
VILO_Up_08_Sp,463,0,2.5,19.03
VILO_Up_08_Su,465,0,2.8,19.03
VILO_Up_14_Sp,512,0,1,13.75
VILO_Up_14_Su,476,0,4.7,13.75
VILO_Up_16_Sp,483,0,4,17.72
VILO_Up_16_Su,565,0,4,17.72
VILO_Do_05_Sp,426,0.11,2.5,5.27
